institute_id,name,link,tlr,rpc,go,oi,perception,city,state,score,rank
IR-E-U-0284,Maulana Azad National Institute of Technology,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0284.pdf,52.55,28.36,64.27,47.33,3.2,Bhopal,Madhya Pradesh,42.17,65
IR-E-U-0795,Indian Institute of Information Technology Guwahati,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0795.pdf,64.22,6.8,58.52,52.43,36.68,Guwahati,Assam,41.92,66
IR-E-U-0092,National Institute of Technology Raipur,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0092.pdf,58.88,24.26,56.99,50.7,1.63,Raipur,Chhattisgarh,41.58,67
IR-E-U-0080,Punjab Engineering College (Deemed To Be University),https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0080.pdf,55.66,14.2,64.1,56.64,19.9,Chandigarh,Chandigarh,41.43,68
IR-E-C-24004,College of Engineering(A),https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-24004.pdf,65.32,10.04,63.72,54.35,5.69,Visakhapatnam,Andhra Pradesh,41.36,69
IR-E-C-1269,R. V. College of Engineering,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-1269.pdf,63.06,13.29,59.79,48.3,13.2,Bengaluru,Karnataka,41.02,70
IR-E-C-33641,Veermata Jijabai Technological Institute,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-33641.pdf,57.29,11.04,68.16,52.93,11.55,Mumbai,Maharashtra,40.58,71
IR-E-U-0078,Panjab University,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0078.pdf,40.82,43.55,51.63,40.27,7.59,Chandigarh,Chandigarh,40.44,72
IR-E-C-1262,B.M.S. College of Engineering,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-1262.pdf,62.07,11.92,55.53,52.58,17.79,Bengaluru,Karnataka,40.35,73
IR-E-C-45375,Indian Institute of Food Processing Technology (IIFPT),https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-45375.pdf,70.18,5.41,53.5,58.94,9.84,Thanjavur,Tamil Nadu,40.24,74
IR-E-U-0493,National Institute of Technology Agartala,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0493.pdf,57.69,21.55,48.22,55.37,10.27,Agratala,Tripura,39.98,75
IR-E-C-6379,Netaji Subhas University of Technology (NSUT),https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-6379.pdf,49.6,22.68,62.41,44.55,13.6,South West,Delhi,39.97,76
IR-E-U-0620,National Institute of Technology Goa,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0620.pdf,57.39,18.33,52.11,56.77,11.13,Ponda,Goa,39.93,77
IR-E-U-0201,Shri Mata Vaishno Devi University,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0201.pdf,69.41,18.63,41.79,48.0,1.1,Katra,Jammu and Kashmir,39.68,78
IR-E-U-0207,National Institute of Technology Jamshedpur,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0207.pdf,56.64,12.85,64.87,45.15,11.13,Jamshedpur,Jharkhand,39.44,79
IR-E-U-0460,Karunya Institute of Technology and Sciences,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0460.pdf,56.5,20.5,50.75,54.83,6.65,Coimbatore,Tamil Nadu,39.4,80
IR-E-U-0286,Indian Institute of Information Technology Design & Manufacturing Jabalpur,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0286.pdf,45.42,30.89,59.4,43.47,1.63,Jabalpur,Madhya Pradesh,39.29,81
IR-E-C-36926,Kumaraguru College of Technology,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-36926.pdf,63.11,11.35,54.41,45.37,14.79,Coimbatore,Tamil Nadu,39.24,82
